Expiration_date,Strike,Call_or_Put
2,50.0,Call
2,50.5,Call
2,51.0,Call
2,51.5,Call
2,52.0,Call
2,52.5,Call
2,53.0,Call
2,53.5,Call
2,54.0,Call
2,54.5,Call
2,55.0,Call
2,55.5,Call
2,56.0,Call
2,56.5,Call
2,57.0,Call
2,57.5,Call
2,58.0,Call
2,58.5,Call
2,59.0,Call
2,59.5,Call
2,60.0,Call
2,60.5,Call
2,61.0,Call
2,61.5,Call
2,62.0,Call
2,62.5,Call
2,63.0,Call
2,63.5,Call
2,64.0,Call
2,64.5,Call
2,65.0,Call
2,65.5,Call
2,66.0,Call
2,66.5,Call
2,67.0,Call
2,67.5,Call
2,68.0,Call
2,68.5,Call
2,69.0,Call
2,69.5,Call
2,70.0,Call
2,70.5,Call
2,71.0,Call
2,71.5,Call
2,72.0,Call
2,72.5,Call
2,73.0,Call
2,73.5,Call
2,74.0,Call
2,74.5,Call
2,75.0,Call
2,75.5,Call
2,76.0,Call
2,76.5,Call
2,77.0,Call
2,77.5,Call
2,78.0,Call
2,78.5,Call
2,79.0,Call
2,79.5,Call
2,80.0,Call
2,80.5,Call
2,81.0,Call
2,81.5,Call
2,82.0,Call
2,82.5,Call
2,83.0,Call
2,83.5,Call
2,84.0,Call
2,84.5,Call
2,85.0,Call
2,85.5,Call
2,86.0,Call
2,86.5,Call
2,87.0,Call
2,87.5,Call
2,88.0,Call
2,88.5,Call
2,89.0,Call
2,89.5,Call
2,90.0,Call
2,90.5,Call
2,91.0,Call
2,91.5,Call
2,92.0,Call
2,92.5,Call
2,93.0,Call
2,93.5,Call
2,94.0,Call
2,94.5,Call
2,95.0,Call
2,95.5,Call
2,96.0,Call
2,96.5,Call
2,97.0,Call
2,97.5,Call
2,98.0,Call
2,98.5,Call
2,99.0,Call
2,99.5,Call
2,100.0,Call
2,100.5,Call
2,101.0,Call
2,101.5,Call
2,102.0,Call
2,102.5,Call
2,103.0,Call
2,103.5,Call
2,104.0,Call
2,104.5,Call
2,105.0,Call
2,105.5,Call
2,106.0,Call
2,106.5,Call
2,107.0,Call
2,107.5,Call
2,108.0,Call
2,108.5,Call
2,109.0,Call
2,109.5,Call
2,110.0,Call
2,110.5,Call
2,111.0,Call
2,111.5,Call
2,112.0,Call
2,112.5,Call
2,113.0,Call
2,113.5,Call
2,114.0,Call
2,114.5,Call
2,115.0,Call
2,115.5,Call
2,116.0,Call
2,116.5,Call
2,117.0,Call
2,117.5,Call
2,118.0,Call
2,118.5,Call
2,119.0,Call
2,119.5,Call
2,120.0,Call
2,120.5,Call
2,121.0,Call
2,121.5,Call
2,122.0,Call
2,122.5,Call
2,123.0,Call
2,123.5,Call
2,124.0,Call
2,124.5,Call
2,125.0,Call
2,125.5,Call
2,126.0,Call
2,126.5,Call
2,127.0,Call
2,127.5,Call
2,128.0,Call
2,128.5,Call
2,129.0,Call
2,129.5,Call
2,130.0,Call
2,130.5,Call
2,131.0,Call
2,131.5,Call
2,132.0,Call
2,132.5,Call
2,133.0,Call
2,133.5,Call
2,134.0,Call
2,134.5,Call
2,135.0,Call
2,135.5,Call
2,136.0,Call
2,136.5,Call
2,137.0,Call
2,137.5,Call
2,138.0,Call
2,138.5,Call
2,139.0,Call
2,139.5,Call
2,140.0,Call
2,140.5,Call
2,141.0,Call
2,141.5,Call
2,142.0,Call
2,142.5,Call
2,143.0,Call
2,143.5,Call
2,144.0,Call
2,144.5,Call
2,145.0,Call
2,145.5,Call
2,146.0,Call
2,146.5,Call
2,147.0,Call
2,147.5,Call
2,148.0,Call
2,148.5,Call
2,149.0,Call
2,149.5,Call
2,150.0,Call
