Expiration_date,Strike,Call_or_Put,Benchmark_price,Price
0.25,90.0,Call,1.9302270674137105,1.8779981128029501
0.25,91.0,Call,1.2430560532725607,1.1968431311277143
0.25,92.0,Call,0.7245489956181359,0.688706959346717
0.25,93.0,Call,0.3771088765236321,0.3531156312541745
0.25,94.0,Call,0.1733156081671936,0.16084521535752652
0.25,95.0,Call,0.06972694416745195,0.0650539350996913
0.25,96.0,Call,0.02439817725348048,0.023093579874231572
0.25,97.0,Call,0.007391654568070227,0.007352478891191225
0.25,98.0,Call,0.001933119340399525,0.002138526782142132
0.25,99.0,Call,0.0004356517858243314,0.0005210520681834444
0.25,100.0,Call,8.453192248334893e-05,8.860309003810916e-05
0.25,101.0,Call,1.4120679990683397e-05,1.5482026011955968e-05
0.25,102.0,Call,2.0318959181731943e-06,1.823328759839918e-06
0.25,103.0,Call,2.5247701123472157e-07,0.0
0.25,104.0,Call,2.7559159043242868e-08,0.0
0.25,105.0,Call,3.103132831024078e-09,0.0
0.25,106.0,Call,8.115264260029541e-10,0.0
0.25,107.0,Call,6.2596673027535e-10,0.0
0.25,108.0,Call,6.130628221745049e-10,0.0
0.25,109.0,Call,6.123092737746868e-10,0.0
0.25,110.0,Call,6.122292369223213e-10,0.0
0.5,90.0,Call,3.111527958339792,3.0008534435143113
0.5,91.0,Call,2.353610802753977,2.255694385929802
0.5,92.0,Call,1.7032819286507603,1.6198484432135385
0.5,93.0,Call,1.1734632134612895,1.1077840757395543
0.5,94.0,Call,0.7662032820714231,0.7194544853824594
0.5,95.0,Call,0.47231639567035444,0.442074401686938
0.5,96.0,Call,0.2739903807430384,0.25603412517112134
0.5,97.0,Call,0.14918247691104192,0.1398513017249839
0.5,98.0,Call,0.07608416843564925,0.0723923065568725
0.5,99.0,Call,0.0362908614613171,0.03605715780331252
0.5,100.0,Call,0.016171405570973185,0.017484921796455787
0.5,101.0,Call,0.006727071395171702,0.007944677463405065
0.5,102.0,Call,0.0026112286791102335,0.0033613203546932306
0.5,103.0,Call,0.0009456411210197052,0.0013938786143428722
0.5,104.0,Call,0.0003195077614797162,0.000586308244707991
0.5,105.0,Call,0.00010073796609979223,0.00022761834954277424
0.5,106.0,Call,2.9648443359350275e-05,6.940911358362367e-05
0.5,107.0,Call,8.148727244691473e-06,2.7548635071094648e-05
0.5,108.0,Call,2.0924523219976532e-06,1.0359701985699196e-05
0.5,109.0,Call,5.021501564817611e-07,6.066028654158702e-07
0.5,110.0,Call,1.1254566014369513e-07,0.0
0.75,90.0,Call,4.263442857781925,4.075228434033078
0.75,91.0,Call,3.457697402388064,3.2930646673744683
0.75,92.0,Call,2.729925975725159,2.5878543621262833
0.75,93.0,Call,2.0925304807780236,1.9738403325872478
0.75,94.0,Call,1.5532771308183726,1.458907820742057
0.75,95.0,Call,1.113998797979221,1.043363319744994
0.75,96.0,Call,0.7703690977764737,0.7218667259505996
0.75,97.0,Call,0.5127834854465689,0.4838079849622379
0.75,98.0,Call,0.3280610324522506,0.31353062791201863
0.75,99.0,Call,0.20148405567616479,0.1961525958491574
0.75,100.0,Call,0.11868026766574236,0.11869483389916315
0.75,101.0,Call,0.0669961980807443,0.06932922167173308
0.75,102.0,Call,0.03622613567712962,0.03980567417434025
0.75,103.0,Call,0.018755726065041278,0.022374301172680584
0.75,104.0,Call,0.009295841641475233,0.012261998313545915
0.75,105.0,Call,0.004410047529490646,0.006746976436512362
